Type|Name|Parameter|Class|Producer|Unit
Metric|LoadFifteen||OS|SysInfo|_
Metric|LoadFive||OS|SysInfo|_
Metric|LoadOne||OS|SysInfo|_
Metric|M2_G0_AMB_TEMP||environmental|ipmi|C
Metric|M2_G1_AMB_TEMP||environmental|ipmi|C
Metric|MB_TEMP1||environmental|ipmi|C
Metric|MB_TEMP2||environmental|ipmi|C
Metric|MajorPageFaults||Memory|ProcVMStat|count
Metric|MemoryAvailable||Memory|ProcMemInfo|bytes
Metric|MemoryFree||Memory|ProcMemInfo|bytes
Metric|MemoryTotal||Memory|ProcMemInfo|bytes
Metric|MemoryUsed||Memory|ProcMemInfo|bytes
Metric|MemoryUsed|cmd|Process|ProcPidStat|bytes
Metric|MemoryUtilization||Memory|ProcMemInfo|%
Metric|MergedReads|nvme0n1|Disk|SysBlockStat|count
Metric|MergedReads|sda|Disk|SysBlockStat|count
Metric|MergedWrites|nvme0n1|Disk|SysBlockStat|count
Metric|MergedWrites|sda|Disk|SysBlockStat|count
Metric|NVMeG0_TEMP||environmental|ipmi|C
Metric|NVMeG1_TEMP||environmental|ipmi|C
Metric|P0_VDDCR_CPU||environmental|ipmi|V
Metric|P0_VDDCR_SOC||environmental|ipmi|V
Metric|P0_VDDIO_ABCD||environmental|ipmi|V
Metric|P0_VDDIO_EFGH||environmental|ipmi|V
Metric|P0_VDD_18||environmental|ipmi|V
Metric|P1_VDDCR_CPU||environmental|ipmi|V
Metric|P1_VDDCR_SOC||environmental|ipmi|V
Metric|P1_VDDIO_ABCD||environmental|ipmi|V
Metric|P1_VDDIO_EFGH||environmental|ipmi|V
Metric|P1_VDD_18||environmental|ipmi|V
Metric|PLX0_TEMP||environmental|ipmi|V
Metric|PLX1_TEMP||environmental|ipmi|V
Metric|PSU1_HOTSPOT||environmental|ipmi|V
Metric|PSU2_HOTSPOT||environmental|ipmi|V
Metric|P_1V0_AUX_LAN||environmental|ipmi|V
Metric|P_3V3||environmental|ipmi|V
Metric|P_VBAT||environmental|ipmi|V
Metric|PacketsRecv|docker0|Network|ProcNetDev|count_s
Metric|PacketsRecv|eno1|Network|ProcNetDev|count_s
Metric|PacketsRecv|eno2|Network|ProcNetDev|count_s
Metric|PacketsRecv|enp65s0f0|Network|ProcNetDev|count_s
Metric|PacketsRecv|enp65s0f1|Network|ProcNetDev|count_s
Metric|PacketsRecv|ib0|Network|ProcNetDev|count_s
Metric|PacketsSent|docker0|Network|ProcNetDev|count_s
Metric|PacketsSent|eno1|Network|ProcNetDev|count_s
Metric|PacketsSent|eno2|Network|ProcNetDev|count_s
Metric|PacketsSent|enp65s0f0|Network|ProcNetDev|count_s
Metric|PacketsSent|enp65s0f1|Network|ProcNetDev|count_s
Metric|PacketsSent|ib0|Network|ProcNetDev|count_s
Metric|PageFaults||Memory|ProcVMStat|count_s
Metric|PageIn||Memory|ProcVMStat|bytes_s
Metric|PageOut||Memory|ProcVMStat|count_s
Metric|PageSwapIn||Memory|ProcVMStat|count_s
Metric|PageSwapOut||Memory|ProcVMStat|count_s
Metric|Pending_Sector_Count|sda|Disk/Smart|smart|count
Metric|ProcessCount||OS|SysInfo|count
Metric|RISER1_TEMP||environmental|ipmi|C
Metric|RISER2_TEMP||environmental|ipmi|C
Metric|RISER3_TEMP||environmental|ipmi|C
Metric|RISER4_TEMP||environmental|ipmi|C
Metric|RISER5_TEMP||environmental|ipmi|C
Metric|RISER6_TEMP||environmental|ipmi|C
Metric|ReadOnly|/|Disk|ProcMounts|state
Metric|ReadOnly|/boot/efi|Disk|ProcMounts|state
Metric|ReadOnly|/local|Disk|ProcMounts|state
Metric|ReadOnly|/var|Disk|ProcMounts|state
Metric|ReadTime|nvme0n1|Disk|SysBlockStat|s
Metric|ReadTime|sda|Disk|SysBlockStat|s
Metric|Reads|nvme0n1|Disk|SysBlockStat|count
Metric|Reads|sda|Disk|SysBlockStat|count
Metric|Reallocated_Sector_Ct|sda|Disk/Smart|smart|count
Metric|Reported_Uncorrect|sda|Disk/Smart|smart|count
Metric|RunningProcesses||OS|ProcStat|count
Metric|SYS_FAN1||environmental|ipmi|RPM
Metric|SYS_FAN10||environmental|ipmi|RPM
Metric|SYS_FAN11||environmental|ipmi|RPM
Metric|SYS_FAN12||environmental|ipmi|RPM
Metric|SYS_FAN13||environmental|ipmi|RPM
Metric|SYS_FAN14||environmental|ipmi|RPM
Metric|SYS_FAN2||environmental|ipmi|RPM
Metric|SYS_FAN3||environmental|ipmi|RPM
Metric|SYS_FAN4||environmental|ipmi|RPM
Metric|SYS_FAN5||environmental|ipmi|RPM
Metric|SYS_FAN6||environmental|ipmi|RPM
Metric|SYS_FAN7||environmental|ipmi|RPM
Metric|SYS_FAN8||environmental|ipmi|RPM
Metric|SYS_FAN9||environmental|ipmi|RPM
Metric|SYS_POWER||environmental|ipmi|W
Metric|SectorsRead|nvme0n1|Disk|SysBlockStat|count
Metric|SectorsRead|sda|Disk|SysBlockStat|count
Metric|SectorsWritten|nvme0n1|Disk|SysBlockStat|count
Metric|SectorsWritten|sda|Disk|SysBlockStat|count
Metric|SwapCached||Memory|ProcMemInfo|bytes
Metric|SwapFree||Memory|ProcMemInfo|bytes
Metric|SwapTotal||Memory|ProcMemInfo|bytes
